21385.070.000.00.00;ASTER NINA WHITE 070 CM                 
21385.060.000.00.00;ASTER NINA WHITE 060 CM                 
21385.050.000.00.00;ASTER NINA WHITE 050 CM                 
21385.040.000.00.00;ASTER NINA WHITE 040 CM                 
21385.030.000.00.00;ASTER NINA WHITE 030 CM                 
21384.070.000.00.00;ASTER NINA RED 070 CM                   
21384.060.000.00.00;ASTER NINA RED 060 CM                   
21384.050.000.00.00;ASTER NINA RED 050 CM                   
21384.040.000.00.00;ASTER NINA RED 040 CM                   
21384.030.000.00.00;ASTER NINA RED 030 CM                   
21383.070.000.00.16;ASTER NINA 070 CM MISTO                 
21383.060.000.00.16;ASTER NINA 060 CM MISTO                 
21383.050.000.00.16;ASTER NINA 050 CM MISTO                 
21383.040.000.00.16;ASTER NINA 040 CM MISTO                 
21383.030.000.00.16;ASTER NINA 030 CM MISTO                 
21383.070.000.00.15;ASTER NINA 070 CM VARIADO               
21383.060.000.00.15;ASTER NINA 060 CM VARIADO               
21383.050.000.00.15;ASTER NINA 050 CM VARIADO               
21383.040.000.00.15;ASTER NINA 040 CM VARIADO               
21383.030.000.00.15;ASTER NINA 030 CM VARIADO               
21380.040.000.00.15;BROMELIA IMPERIAL P40 VARIADO           
07800.218.000.00.30;MONSTERA ADANSONII C18 PENDENTE         
01125.009.007.00.60;PHAL P09 1 H PERFILHADO ROSA            
03031.048.000.00.99;FICUS P48 LYRATA                        
07626.080.999.00.04;CRIS EXPLORE 080 CM VERMELHO            
07626.060.999.00.04;CRIS EXPLORE 060 CM VERMELHO            
07626.070.999.00.04;CRIS EXPLORE 070 CM VERMELHO            
21370.080.999.00.09;CRIS SANTINI LORENZO 080 CM VERDE       
21370.070.999.00.09;CRIS SANTINI LORENZO 070 CM VERDE       
21370.060.999.00.09;CRIS SANTINI LORENZO 060 CM VERDE       
01125.009.054.52.99;PHALAENOPSIS 2HT P09 MULTICOLOR         
01168.014.001.99.00;AMARYLLIS P14 BRANCO                    
01168.014.001.02.00;AMARYLLIS P14 BRANCO MIN 2 HT           
21352.070.000.00.00;BOUVARDIA ELEGANCE VIOLET 070 CM        
21352.060.000.00.00;BOUVARDIA ELEGANCE VIOLET 060 CM        
21352.050.000.00.00;BOUVARDIA ELEGANCE VIOLET 050 CM        
21352.040.000.00.00;BOUVARDIA ELEGANCE VIOLET 040 CM        
21352.999.000.00.00;BOUVARDIA ELEGANCE VIOLET               
